id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
346,Pashchim Champaran,Chanpatiya,CHANPATIA,SIRISIYA,4,MUSAHRI,BHAGARWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544587)
347,Pashchim Champaran,Chanpatiya,CHANPATIA,SIRISIYA,5,MUSAHRI,CHAMAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544588)
348,Pashchim Champaran,Chanpatiya,CHANPATIA,SIRISIYA,6,MUSAHRI,MUSHARI,Deep tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980892)
349,Pashchim Champaran,Chanpatiya,CHANPATIA,SIRISIYA,7,MUSAHRI,MUSHARI,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004669583)
350,Pashchim Champaran,Chanpatiya,CHANPATIA,SIRISIYA,8,MUSAHRI,PATKHAULI,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544589)
351,Pashchim Champaran,Chanpatiya,CHANPATIA,SIRISIYA,9,SABIYA KALAN,PURVI TOLA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004742859)
352,Pashchim Champaran,Chanpatiya,CHANPATIA,SIRISIYA,10,SABIYA KALAN,PURVI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544590)
353,Pashchim Champaran,Chanpatiya,CHANPATIA,SIRISIYA,11,SABIYA KALAN,SHABYA KOLA,Deep tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980899)
354,Pashchim Champaran,Chanpatiya,CHANPATIA,SIRISIYA,12,SIRSIA,AHIR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544591)
355,Pashchim Champaran,Chanpatiya,CHANPATIA,SIRISIYA,13,SIRSIA,BANGHI KE TOLI,Deep tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980914)
356,Pashchim Champaran,Chanpatiya,CHANPATIA,SIRISIYA,14,SIRSIA,BARHI TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544592)
357,Pashchim Champaran,Chanpatiya,CHANPATIA,SIRISIYA,15,SIRSIA,KOHAR TOLI,Deep tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980916)
358,Pashchim Champaran,Chanpatiya,CHANPATIA,SIRISIYA,16,SIRSIA,MOTI TOLI,Deep tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980935)
359,Pashchim Champaran,Chanpatiya,CHANPATIA,SIRISIYA,17,SIRSIA,SIRISIYA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004742878)
